REGION,DIVISION,STATE,NAME,SEX,AGE,ESTIMATESBASE2000,POPESTIMATE2000,POPESTIMATE2001,POPESTIMATE2002,POPESTIMATE2003,POPESTIMATE2004,POPESTIMATE2005,POPESTIMATE2006,POPESTIMATE2007,POPESTIMATE2008,POPESTIMATE2009,CENSUS2010POP,POPESTIMATE2010,ESTBASE2010_CIV,POPEST2010_CIV,POPEST2011_CIV,POPEST2012_CIV,POPEST2013_CIV,POPEST2014_CIV,POPEST2015_CIV,POPEST2016_CIV,POPEST2017_CIV,POPEST2018_CIV,POPEST2019_CIV,POPEST2020_CIV,POPEST2021_CIV
0,0,0,United States,0,0,3805718,3855956,4012658,3951461,3975871,4014258,4004393,4041738,4147997,4132735,4003587,3944153,3952444,3944160,3951430,3963092,3926570,3931258,3954787,3983981,3954773,3893990,3815343,3783052,3699196,3564493
0,0,0,United States,0,1,3820647,3798691,3855407,4004674,3936139,3953063,3987032,3972124,4002215,4100756,4078797,3978070,3951024,3978090,3957730,3966225,3977549,3942698,3948891,3973133,4002903,3972711,3908830,3829599,3762475,3702936
0,0,0,United States,0,2,3790534,3800144,3800096,3856114,4002836,3933735,3952632,3988119,3973479,4004146,4103002,4096929,4087074,4096939,4090621,3970654,3978925,3991740,3958711,3966321,3991349,4020045,3987032,3922044,3852130,3767428
0,0,0,United States,0,3,3832855,3821118,3802710,3804336,3860727,4008220,3943215,3966022,4004011,3992320,4025675,4119040,4133855,4119051,4111688,4101644,3981531,3991017,4005928,3974351,3982984,4006946,4033038,3998665,3931443,3856743
0,0,0,United States,0,4,3926400,3902384,3827346,3812607,3816873,3876609,4030128,3970880,3998260,4041170,4033457,4063170,4076132,4063186,4077346,4121488,4111490,3992502,4004032,4020292,3989750,3997280,4018719,4043323,4035968,3935738
0,0,0,United States,0,5,3965175,3967834,3910033,3837187,3823568,3829607,3893128,4050582,3993489,4024297,4070265,4056858,4069577,4056872,4064521,4087054,4131049,4121876,4004576,4017589,4035033,4003452,4008443,4028281,4072698,4040153
0,0,0,United States,0,6,4019782,4004335,3972508,3913054,3837761,3822089,3828153,3891329,4046402,3988117,4018200,4066381,4067657,4066412,4072904,4074531,4096631,4141126,4133372,4017388,4031568,4048018,4014057,4017227,4060909,4076629
0,0,0,United States,0,7,4118211,4091467,4012049,3982360,3924182,3850646,3838840,3848758,3914743,4073291,4017024,4030579,4052622,4030594,4042990,4082821,4084175,4106756,4152666,4145872,4030888,4044139,4058370,4022319,4048019,4064596
0,0,0,United States,0,8,4179294,4164871,4099542,4020970,3991075,3933161,3861877,3852265,3863089,3930544,4089946,4046486,4036621,4046497,4025501,4052773,4092559,4094513,4118349,4165033,4158848,4042924,4054236,4066194,4055165,4051555
0,0,0,United States,0,9,4267393,4235345,4179230,4118846,4044265,4018734,3967069,3901754,3896888,3913353,3987064,4148353,4155932,4148369,4125312,4035319,4062726,4103052,4106068,4130887,4177895,4170813,4053179,4061874,4100071,4058615
0,0,0,United States,0,10,4274122,4318540,4277249,4243816,4205042,4151951,4150122,4121105,4075718,4093680,4133090,4172541,4225412,4172559,4186957,4135275,4045445,4072970,4114558,4118721,4144184,4190286,4181603,4060940,4186077,4103489
0,0,0,United States,0,11,4115158,4151953,4344913,4295720,4254047,4207721,4149228,4141970,4106492,4055388,4066605,4114415,4096193,4114443,4115415,4197127,4145724,4055819,4084457,4126769,4131742,4156294,4200646,4189261,4275997,4189406
0,0,0,United States,0,12,4075909,4084732,4183955,4380351,4332987,4293550,4251162,4196880,4192002,4159477,4110576,4106243,4119403,4106261,4113230,4125724,4207661,4156241,4067187,4096602,4139869,4143944,4166696,4208387,4439287,4279315
