"stfips","pop2008_12-17","pop2008_18-20","pop2008_21-24","pop2009_12-17","pop2009_18-20","pop2009_21-24","pop2010_12-17","pop2010_18-20","pop2010_21-24","pop2011_12-17","pop2011_18-20","pop2011_21-24","pop2012_12-17","pop2012_18-20","pop2012_21-24","pop2013_12-17","pop2013_18-20","pop2013_21-24","pop2014_12-17","pop2014_18-20","pop2014_21-24","pop2015_12-17","pop2015_18-20","pop2015_21-24","pop2016_12-17","pop2016_18-20","pop2016_21-24","pop2017_12-17","pop2017_18-20","pop2017_21-24","pop2018_12-17","pop2018_18-20","pop2018_21-24","pop2019_12-17","pop2019_18-20","pop2019_21-24","pop2020_12-17","pop2020_18-20","pop2020_21-24","statename"
1,328315,210463,266600,325557,212558,268216,322347,208651,271702,319909,200876,280056,321153,195847,285310,322522,192274,285653,320194,189013,278885,317078,188885,270435,314370,189488,263650,310454,191019,259055,308083,191472,256156,310057,188987,255450,330610,192697,260367,"Alabama"
2,52178,32253,42993,51584,32123,41075,51087,30320,37762,50656,29703,40402,50925,28640,41898,50567,27842,42334,49811,27418,41520,49477,26552,40075,49399,26214,38696,48908,26174,37056,48301,25925,36130,47972,25386,35089,49792,25278,33463,"Alaska"
4,446938,277306,348371,447679,281369,351451,446853,279116,354630,446123,274808,372593,450425,272745,384940,453929,271705,388130,456115,273218,387191,457681,275930,384004,461338,279947,382394,462956,283270,382137,466822,288601,385894,474450,290177,389438,485379,285575,380846,"Arizona"
5,195995,124230,157839,195371,125185,159075,196862,124139,161796,197412,121342,168437,198805,118619,170786,199592,117371,170820,198556,117335,168026,198182,117733,164531,198181,118151,162040,197696,118735,160476,198086,118866,159993,200204,118042,160107,208117,118291,158255,"Arkansas"
6,2741636,1700944,2149348,2702859,1726165,2179261,2664345,1698565,2192288,2620196,1658003,2262688,2592705,1631772,2295586,2571203,1606200,2285980,2545954,1580052,2248954,2535201,1557598,2197904,2531265,1537940,2153602,2521220,1534973,2116801,2517804,1529702,2075910,2531303,1514141,2036692,2631713,1528164,1994827,"California"
8,330186,205328,273011,329880,207855,273215,330058,205896,269761,332000,207108,275557,336480,205810,282327,341957,204879,287254,346498,205089,289052,352793,206550,290522,358197,209213,289870,360247,213017,286934,362688,216855,286398,365837,218025,287083,376821,221202,286852,"Colorado"
9,250216,152152,178943,248693,151821,181099,245457,152487,182740,243200,157722,183928,241508,158500,187199,238883,156149,193414,235677,154993,198985,232842,152629,201154,229471,152091,200138,226245,151164,197520,224264,149891,194903,222067,147526,193451,229995,148836,193349,"Connecticut"
10,59670,40344,49380,58523,40589,50025,57835,40011,50574,57214,39309,52053,57213,38637,51962,57382,37321,50739,57444,36413,49335,57541,36369,47782,57671,36394,46463,57550,36909,45685,57764,36939,44848,58039,36820,44575,61168,37776,45051,"Delaware"
12,1169420,760343,968050,1158609,761281,974171,1151878,745236,982279,1148799,724336,1022759,1154635,707161,1040248,1160745,703819,1036722,1163271,698502,1019851,1166284,700117,1002562,1176723,707550,991242,1182508,720797,988800,1192692,726939,984174,1205810,723711,982313,1263451,721543,977772,"Florida"
13,688670,426341,532183,687452,432363,542001,686325,426937,537721,686496,423143,551777,694621,420417,569658,703466,412814,570518,709079,411510,567130,713944,412591,561944,720763,417429,557073,720101,426008,552754,722509,429860,552585,729931,432633,557042,764000,440191,560741,"Georgia"
